Institution,Scam_Vector,Misinfo_Type,Core_Claim,Original_Tweet,Image_Text,Image_URL
Pradhan Mantri Mudra Yojana,Other,Loan Fraud,"An approval letter falsely claims to grant a loan of ₹1,00,000 under the PM Mudra Yojana, requiring an upfront payment of ₹1,750 as loan agreement charges.","An approval letter claims to grant a loan of ₹1,00,000 under the 𝐏𝐌 𝐌𝐮𝐝𝐫𝐚 𝐘𝐨𝐣𝐚𝐧𝐚 on payment of ₹1,750 as loan agreement charges    #PIBFactCheck   This letter is #Fake.   @FinMinIndia  has not issued this letter.  Read more:  http:// mudra.org.in/FAQ","Pradhan Mantri MUDRA LOAN Govt. Approved 699/A, (NEW NO. 70) 45TH CROSS 8TH BLOCK, RICHMOND TOWERS BANGALORE KARNATAKA 560070 IN 18006261346 Yojna Date:23-12-2022 Regd Since 2015 (MUDRA FINANCE Govt Appd.) Regd No: NRI-IFL-6489-R9746031-2004 Corporate identification No. (CIN)U65100MH2015PLC274695 APPLICATION NUMBER:XXXX844 3296 Subject: Your Application for Personal Loan facility vide APPLICATION NO.DL1712010/NRI/FUND/2021 LOAN APPROVAL LETTER Dear Sir/Madam, APPROVED N Aa Al We are pleased to inform you that with refer to the ab application, we are in principle sanctioned You a loan facility subject to the loan te and conditions, which are given below: We would request you to kindly deposit you oan agreement of Rs.1,76/- our company Authorized advocate process your Loan further. Application No. DL1712010/NRI/FUND/2021 Amount Each EM Monthly Loan Amount Sanctioned: Rs. 1,00,000/- Loan Tenor: 36 Months Mode of Disbursement NEFT Refundable Agreement Fees: Rs.1,000/- REFUNDABLE AGREEMENT CHARGES. Rate of Interest(ROI) 5% P.A Interest UNDER N.R.I FUNDING SCHEME Funding of Loan: Pradhan Mantri Mudra Yojana Fees on Part Prepayment: 0% on amount prepaid Security: As may be specified PMMY LOAN LTD from time to time in its sole discretion.",https://pbs.twimg.com/media/Fns35spagAIDipY?format=jpg&name=small
Indian Government,YouTube,Political Misinformation,Finance Minister Nirmala Sitharaman has resigned.,"The #Youtube channel claims that the Finance Minister,  @nsitharaman  has resigned.    #PIBFactcheck    This claim is #Fake.    Kindly do not rely on such videos for authentic information",अभी-अभी की सबसे बड़ी खबर BREAKING NEWS मोदी की मंत्री निर्मला सीतारमण का इस्तीफा वित्त मंत्री का खेल मोदी की चहेती मंत्री निर्मला सीतारमण का इस्तीफा..!! Sarokar Bharat @sarokarbharat5882 21.1K subscribers 928 views • 11 months ago,https://pbs.twimg.com/media/FmQEPsIaUAAM6YV?format=png&name=small
Indian Government,News Article,Fake News,"The false claim is that Finance Minister Nirmala Sitharaman was taken hostage, had her bones broken, and was put into a coma due to public protests over rising inflation.","In another video, Nation Tv has claimed that the Finance Minister, Nirmala Sitharaman has been taken hostage and assaulted   #PIBFactCheck    These claims are Fake     No such said incident took place    Kindly do not share such misleading videos without verifying the facts",बढ़ती महंगाई से सड़कों पर उतर पड़े लोग BREAKING NEWS वित्तमंत्री निर्मला सीतारमण को बनाया बंधक तोड़ डाली हड्डियां BREAKING NEWS कोमा में की गई भत...,https://pbs.twimg.com/media/FmQC61kaYAIrWjl?format=jpg&name=small
Reserve Bank of India,Other,Currency Validity,New guidelines from the Reserve Bank of India state that writing on currency notes makes them invalid and no longer legal tender.,"Does writing anything on the bank note make it invalid  #PIBFactCheck   NO, Bank notes with scribbling are not invalid & continue to be legal tender  Under the Clean Note Policy, people are requested not to write on the currency notes as it defaces them & reduces their life","Reserve Bank of India VV IMP As per New Guidelines of Reserve Bank Of India, Writing any thing on new notes makes the note invalid & it will no more be a legal tender. Just like US Dollars, if you write anything on US dollars, it is not accepted by any one. Just forward to maximum people so that the Indian public understands the importance of this message.",https://pbs.twimg.com/media/Fl7zXjLaEAEjbS-?format=jpg&name=small
BHIM / NPCI,SMS,Misleading Offer,The SMS claims that users can receive an exclusive new year gift by sending 'hi' to the official BHIM UPI WhatsApp Channel.,#FoundTrue   Yes! BHIM UPI App now has an official #WhatsApp Channel.    Drop a 'Hi' on +918291119191 for staying updated with latest features and offers .  #PIBFactCheck   https:// wa.me/+918291119191,"Hi, your favourite BHIM UPI App now has an official Whatsapp Channel. Drop us a 'hi' on 8291119191 to claim your 1st exclusive new year gift. BHIM NPCI",https://pbs.twimg.com/media/Fl3EeC5aMAAkaA5?format=jpg&name=small
Indian Oil Corporation,Other,Fake Scheme,"Indian Oil Corporation is offering a fuel subsidy gift card worth ₹6,000 through a questionnaire or lucky draw.","""Chance to win a Fuel Subsidy Gift worth ₹6,000 from the Indian Oil Corporation""  Sounds enticing right? However,   This lucky draw is #FAKE   It's a scam & is not related to  @IndianOilcl    Always run any suspicious information related to Government of India by #PIBFactCheck","Congratulations! Indian Oil Fuel Subsidy Gift! Through the questionnaire, you will have a chance to get A gift card worth 6000 Rupee",https://pbs.twimg.com/media/FmG0p9ZaUAA2aKL?format=jpg&name=small
RBI,WhatsApp,Fake Scheme,"A fake KBC WhatsApp Lucky Draw claims that the recipient has won 25,00,000 INR from the Reserve Bank of India and must pay a registration tax to receive the prize.","A #FAKE lucky draw in the name of Reserve Bank of India is viral on social media and is offering a chance to win ₹25,00,000  #PIBFactCheck   It's a scam & is not related to  @RBI    RBI does not send any emails intimating award of lottery funds, etc   https:// rbi.org.in/commonman/Engl ish/Scripts/PressReleases.aspx?Id=2440 …","Reserve Bank Of India Kbc WhatsApp Lucky Draw भारतीय रिज़र्व बैंक BANK OF INDIA RESERVE BANK OF INDIA RESERVE BANK OF INDIA GOVERNOR SHAKTIKANTA DAS Registration Now A/c Holder Name Account Number IFSC Code Dear Sir: Congratulation To You Your Number Is The Winner of 25,00,000 INR in a Lucky Draw of Kbc & Jio. We Recieve Your Payment And Now We Are Going To Complete The Procedure To Delievery This Amount On Your Name Your Payment Is Register After Paying The Registration Tax By You Your Registration Tax Is The Half Your Registration Tax Will Refund To You. (We Will Persue This Process TAX16200 Amount: 25,00,000/ INR Registration Charges: Note: Register Your Payment By Paying Tax And Claim Your Winning Amount RESERVE BANK OF INDIA REGISTRATION LETTER",https://pbs.twimg.com/media/FpUkhgEaYAEokUK?format=jpg&name=small
Ministry of Power,Other,Account Block,Consumers are falsely informed that their electricity connection will be disconnected if they do not immediately update their bill by calling a provided helpline number.,𝐂𝐥𝐚𝐢𝐦: Customers need to update their bills to avoid disconnection which can be done by calling the provided helpline number  #PIBFactCheck  This is a scam    @MinOfPower  has not issued this notice  Be cautious while sharing your personal & financial information,"Notice for Consumer regarding to update your bill immediately Dear consumer, Your electricity power connection will be Disconnected tonight 09:00 pm. Because your previous month bill was not updated , please immediately call our electricity officer Mr Devesh joshi ministry of power would like to calrify that althou encou our consumer's to always keep updated. Now you update your bill by just calling our le number . To update your bill call our electrici help number. 0824-060-6707 Follow our official social media accounts @ministryofpower on twiter , facebook , instgram and YouTube cheif electricity officer",https://pbs.twimg.com/media/FppeYESaUAMaoGp?format=png&name=small
"BSNL, TRAI",WhatsApp,Account Block,"A notice falsely claims that a customer's SIM KYC has been suspended by TRAI, and their SIM card will be blocked within 24 hours, urging them to call immediately.",It is being claimed in a notice that the customer's KYC has been suspended by  @TRAI  and the sim card will be blocked within 24 hrs  #PIBFactCheck   These claims are #Fake   @BSNLCorporate  never sends any such notices  Never share your personal & bank details with anyone,"सत्यमेव जयते BSNL सत्यमेव जयते AN ISO 9001:2008 CERTIFICATES TELECOM COMPANY TRAI Telecom Regulatory Authority of India PL/KYC/DO/2022-2023 NOTICE Dear Customer, Your Sim KYC has been suspended by Telecom Regulatory Authority of India. Your Sim card will be blocked within 24 hours. Call Immediately CustomerCare 7846956157 KYC VERIFICATION EXECUTIVE NAME:- CALL:- Note:- CONTACT THE SERVICE PROVIDER IMMEDIATELY BEFORE SUSPEND YOUR SIM Yours Truly ESTD. 1988 Dev Anan GOVN. OF INDIA Customer Care Government Ministry of Communication GOVERNMENT OF INDIA",https://pbs.twimg.com/media/FoWQhsUaAAAV42l?format=jpg&name=small
Reserve Bank of India,WhatsApp,Fake Guidelines,New guidelines from the Reserve Bank of India state that writing on new currency notes makes them invalid and no longer legal tender.,"Does writing anything on the banknote make it invalid  #PIBFactCheck  NO, Bank notes with scribbling are not invalid & continue to be legal tender  Under the Clean Note Policy, people are requested not to write on the currency notes as it defaces them & reduces their life","Reserve Bank of India VV IMP As per New Guidelines of Reserve Bank Of India, Writing any thing on new notes makes the note invalid & it will no more be a legal tender. Just like US Dollars, if you write anything on US dollars, it is not accepted by any one. Just forward to maximum people so that the Indian public understand the importance of this message.",https://pbs.twimg.com/media/FpuefivXgAICUIn?format=png&name=small
