Institution,Scam_Vector,Misinfo_Type,Core_Claim,Original_Tweet,Tweet_URL,Image_Text,Image_URL
India Post Payments Bank,SMS,Account Block,The customer's India Post Payments bank account will be blocked within 24 hrs if their Pan card is not updated.,Claim: The customer's India Post Payments bank account will be blocked within 24 hrs if their Pan card is not updated.  #PIBFactCheck   This claim is #Fake.    @IndiaPostOffice  never sends any such messages.   Never share your personal & bank details with anyone.,https://x.com/PIBFactCheck/status/1671419371628150784,"IndiaPost Payment Bank KYC login surl.li Dear user your India post payment bank account has been blocked today please updated your PAN Card immediately click here the link-http://surl.li/iccpf India Post Payments Bank Aapka bank, aapke dwar. CONTINUE TO PAN U Account Number Customer",https://pbs.twimg.com/media/FzISqpZaUAEzQjl?format=jpg&name=small
RBI,WhatsApp,Fake Currency Information,A ₹500 note should not be taken if the green strip is near Gandhi's picture instead of near the RBI Governor's signature.,दावा: ₹500 का वह नोट नहीं लेना चाहिए जिसमें हरी पट्टी आरबीआई गवर्नर के सिग्नेचर के पास न होकर गांधीजी की तस्वीर के पास होती है।  #PIBFactCheck:  यह दावा #फ़र्ज़ी है।   @RBI  के अनुसार दोनों ही तरह के नोट मान्य होते हैं।  अधिक जानकारी के लिए यहाँ जाएं:   https:// paisaboltahai.rbi.org.in/pdf/100295-100 1%20Rs%20500%20note-Eng_7-1-19-01.pdf …,https://x.com/PIBFactCheck/status/1672539224183283712,"500 रुपए की वो नोटे मत लीजिए, जिनमें हरी पट्टी गांधीजी के नजदीक बनी है, क्योंकि ये नकली है. 500 की सिर्फ वही नोटे लीजिए, जिनमें हरी पट्टी RBI गवर्नर के सिनेचर के पास है. इस मेसेज को अपने परिवार और दोस्तों तक पहुंचाएं.",https://pbs.twimg.com/media/FzYNSAMagAEi7ly?format=png&name=small
Indian Government,SMS,Loan Fraud,"A message claims that Rs. 20,55,000 is ready to be sanctioned under Mudra Yojana 2023 and asks the recipient to verify their mobile number and check loan eligibility through a provided link.","A viral message circulating on social media claims to offer a loan of ₹20,55,000 under the ""PM Mudra Yojana”.     #PIBFactCheck:   This message is #Fake  Never click on any such suspicious links  Do not respond to emails/SMS asking to share your banking/personal details",https://x.com/PIBFactCheck/status/1668193440121905152,"Mudra Yojana 2023 - Rs.20,55,000 is ready to sanctioned - Verify your mobile number and check Loan eligibility in minutes! http://epq9.com/PPQNHAKHYLNNNL",https://pbs.twimg.com/media/FyacXyVaYAEgSuQ?format=jpg&name=small
RBI,News Article,Account Block,"The RBI Governor has announced that bank accounts with more than 30,000 rupees will be closed.","एक ख़बर में दावा किया जा रहा है कि भारतीय रिजर्व बैंक के गवर्नर ने बैंक खातों को लेकर एक अहम ऐलान किया है कि अगर किसी भी खाताधारक के खाते में 30,000 रुपये से ज्यादा है तो उसका खाता बंद कर दिया जाएगा  #PIBFactCheck   यह ख़बर #फ़र्ज़ी है।    @RBI  ने ऐसा कोई निर्णय नहीं लिया है।",https://x.com/PIBFactCheck/status/1669305209640869890,"RBI गवर्नर का आया बड़ा बयान, खाते में 30 हजार से ज्यादा पैसे होने पर हो सकता है खाता बंद. By Sarkari Result - June 12, 2023. भारतीय रिजर्व बैंक (RBI) के गवर्नर ने बैंक खातों को लेकर एक अहम ऐलान किया है. नए नियम के मुताबिक अगर किसी भी खाताधारक के खाते में 30 हजार रुपये से ज्यादा है तो उसका खाता बंद कर दिया जाएगा.",https://pbs.twimg.com/media/FyqPpgAaQAEN6Zw?format=jpg&name=small
Pradhan Mantri Mudra Yojana,Other,Loan Fraud,"A letter falsely claims to approve a loan of ₹1,00,000 under the Pradhan Mantri Mudra Yojana, contingent on an upfront payment of ₹1,000 for refundable agreement charges.","An approval letter claims to grant a loan of ₹1,00,000 under the 𝐏𝐌 𝐌𝐮𝐝𝐫𝐚 𝐘𝐨𝐣𝐚𝐧𝐚 on payment of ₹1,750 as loan agreement charges  #PIBFactCheck  This letter is #Fake   @FinMinIndia  has not issued this letter  Read more:  http:// mudra.org.in/FAQ",https://x.com/PIBFactCheck/status/1675825076531527680,"Pradhan Mantri MUDRA LOAN Govt. Approved 699/A, (NEW NO. 70) 45TH CROSS 8TH BLOCK, RICHMOND TOWERS BANGALORE KARNATAKA 560070 IN 18005261346 Yojna Regd Since 2015 (MUDRA FINANCE Govt Appd.) Regd No: NRI-IFL-6489-R9746031-2004 Corporate identification No. (CIN)U65100MH2015PLC274695 APPLICATION NUMBER:XXXX844 3296 Subject: Your Application for Personal Loan facility vide APPLICATION NO.DL1712010/NRI/FUND/2021 LOAN APPROVAL LETTER Dear Sir/Madam, APPROVED We are pleased to inform you that with reference to the above application, we have in principle sanctioned you a loan facility subject to the loan terms and conditions set out which are given below: We would request you to kindly deposit your loan agreement of Rs.1,76/- to our companies Authorized advocate process your Loan further. Application No. DL1712010/NRI/FUND/2021 Amount Each EM Monthly Loan Amount Sanctioned: Rs. 1,00,000/- Loan Tenor: 36 Months Mode of Disbursement NEFT Refundable Agreement Fees: Rs.1,000/- REFUNDABLE AGREEMENT CHARGES. Rate of Interest(ROI) 5% P.A Interest UNDER N.R.I FUNDING SCHEME Funding of Loan: Pradhan Mantri Mudra Yojana Fees on Part Prepayment: 0% on amount prepaid Security: As may be specified PMMY LOAN LTD from time to time in its sole discretion.",https://pbs.twimg.com/media/F0G4_26acAEagR4?format=png&name=small
Ministry of Finance,Other,Fake Government Order,"The Government of India has decided to amalgamate Baroda Uttar Pradesh Bank, Aryavart Bank, and Prathama Uttar Pradesh Gramin Bank into a single Regional Rural Bank named Baroda U.P. Bank.","Claim: Govt. Of India has decided to amalgamate Baroda Uttar Pradesh Bank, Aryavart Bank & Prathama Uttar Pradesh Gramin Bank into a single Regional Rural Bank named Baroda U.P. Bank  #PIBFactCheck  - This Notification is #FAKE  - No such decision has been made by  @FinMinIndia",https://x.com/PIBFactCheck/status/1680940221041639424,"THE GAZETTE OF INDIA : EXTRAORDINARY [PART II—SEC. 3(ii)] MINISTRY OF FINANCE (Department of Financial Services) NOTIFICATION New Delhi, the 17th July, 2023 S.O. 4268(E).—Whereas the Central Government, after consultation with the National Bank for Agriculture and Rural Development (NABARD), Government of Uttar Pradesh and the Bank of Baroda, Bank of India and Punjab National Bank, being the Sponsor Banks of Baroda Uttar Pradesh Bank, Aryavart Bank and Prathama Uttar Pradesh Gramin Bank, is of the opinion that it is necessary in the public interest and in the interest of the development of the area served by the aforesaid Regional Rural Banks and also in the interest of the said Regional Rural Banks themselves, that the said Regional Rural Banks should be amalgamated into a single Regional Rural Bank; Now, therefore, in exercise of the powers conferred by sub-section (1) of section 23A of the Regional Rural Banks Act, 1976 (21 of 1976) (hereinafter referred to as “the Act”), the Central Government hereby provides for the amalgamation of the said Regional Rural Banks into a single Regional Rural Bank which shall come into effect on and from the first day of April, 2024 (hereinafter referred to as the “effective date of amalgamation”) with such constitution, property, powers, rights, interests, authorities and privileges; and with such liabilities, duties and obligations as specified hereunder:— 1. Baroda Uttar Pradesh Bank, Aryavart Bank and Prathama Uttar Pradesh Gramin Bank (hereinafter referred to as “the transferor Regional Rural Banks”) sponsored by the Bank of Baroda, Bank of India and Punjab National Bank in the State of Uttar Pradesh are hereby amalgamated into a single Regional Rural Bank which shall be called as Baroda U.P. Bank (hereinafter referred to as “the transferee Regional Rural Bank”) with its head office at Gorakhpur under the sponsorship of Bank of Baroda. 2. The authorized capital of the transferee Regional Rural Bank shall be rupees two thousand crore and the issued, subscribed and paid-up capital shall be rupees one hundred crore number of fully paid shares of rupees ten each. The subscribed share capital of the transferor Regional Rural Bank shall be equal to the subscribed share capital of the transferor Regional Rural Banks and, therefore, the entire subscribed share capital of the transferor Regional Rural Bank shall be deemed to have been transferred to and shall be deemed as subscribed share capital of the transferee Regional Rural Bank.",https://pbs.twimg.com/media/F1PmJiSaYAAM_9W?format=jpg&name=small
RBI,WhatsApp,Fake Currency,₹500 notes with a star symbol (*) are fake and are being circulated in the market.,कहीं आपके पास भी तो नहीं है स्टार चिह्न (*) वाला नोट  कहीं ये नकली तो नहीं  घबराइए नहीं   #PIBFactCheck   ऐसे नोट को नकली बताने वाले मैसेज फर्जी है।    @RBI  द्वारा दिसंबर 2016 से नए ₹500 बैंक नोटों में स्टार चिह्न (*) की शुरुआत की गई थी   https:// rbi.org.in/commonman/Engl ish/scripts/PressReleases.aspx?Id=2015 …,https://x.com/PIBFactCheck/status/1684150505734569987,"भारतीय रिज़र्व बैंक पाँच सौ रुपये RESERVE BANK OF INDIA ₹500 LAB*380187 पिछले 2-3 दिनों से *चिह्न वाले ये 500 के नोट बाजार में चलन शुरू हो गए हैं। ऐसा नोट कल इंडसइंड बैंक से लौटाया गया। यह नकली नोट है। आज भी एक मित्र को ऐसे 2-3 नोट मिले, लेकिन ध्यान न देने के कारण उन्होंने तुरंत वापस कर दिए। ग्राहक ने यह भी कहा कि यह नोट किसी ने सुबह दिया था। अपना ध्यान रखें, बाजार में नकली नोट ले जाने वाले फेरियों की संख्या में बढ़ोतरी हुई है।",https://pbs.twimg.com/media/F19My_kaAAAkKez?format=jpg&name=small
Mudra Finance,Other,Loan Fraud,"The letter falsely claims that a loan of ""3,00,000 has been approved by Mudra Finance at 2% interest, but requires an upfront payment of 
3,650 as legal insurance charges.","An approval letter claims to grant a loan of ₹3,00,000 under the 𝐏𝐌 𝐌𝐮𝐝𝐫𝐚 𝐘𝐨𝐣𝐚𝐧𝐚 on payment of ₹36,500 as legal insurance charges  #PIBFactCheck  This letter is #Fake   @FinMinIndia  has not issued this letter  Read more:  http:// mudra.org.in/FAQ",https://x.com/PIBFactCheck/status/1683759602033364992,"Date: 3/03/2023 Ref.:MUDRA/LON/CORRS/20-22/9208 mudra APPROVAL LETTER To, <Name> AADHAR NO :- Subject: Approved of Loan ""<Loan Type>"" Greetings from Mudra Finance. At the outset we welcome you to the world of Mudra Finance. It is my privilege to inform you that an amount of 3,00000 only can be financed by us for you with loan interest rate at 2% Per Ann- umoneducing b.This is to inform your file come under process positively of which. -----Section Break(Continuous)----- Loan Details:- Loan Amt :- 3,00000/- Loan Period:- 3 years/- EMI :- (in Rs.- 8592/- ) Customer account details A/C: Bank Account Details: Mudra Finance Your need to pay legal insurance charge Rs.3650 through NEFT/RTGS/Online Banking/UPI in following bank account: Note: Cash Deposited Not Accepted by Company. Online Transaction Needed for your Bank Account / Transaction Verification). (Thank you for choosing Mudra Finance and assuring your best Services at all time, looking forward to a great and long relationship with you. For More Details Contact our executive. Thanking you Your Truly Dev Anan Customer Business Managing Director M.D. Verified By Verified By: Er Soumyendu Ganguly",https://pbs.twimg.com/media/F13qRJ1aIAU2D7b?format=jpg&name=small
Ministry of Finance,WhatsApp,Fake Scheme,"The Ministry of Finance is offering ₹32,849 to every Indian citizen as financial aid, requiring registration through a provided link.","A message with a link claims to offer a benefit of ₹32,849 in the name of the Ministry of Finance as an aid to the poor class and is further seeking the recipient's personal details.  #PIBFactCheck  This message is FAKE  No such benefit is announced by  @FinMinIndia",https://x.com/PIBFactCheck/status/1677267836807573504,"वित्त मंत्रालय MINISTRY OF FINANCE After taking into consideration the financial crisis experienced by the Indian people, the Ministry of Finance decided to give every citizen an amount of (₹32849) to reduce the severity of the crisis Register for support Rs 32,849 for every indian citizen Click here to register tinyurl.com After the surge in prices, the government decided to give the Indian people an amount of ₹32849 for every citizen who meets the conditions as an aid to the poor class to overcome the crisis. Enter and register now and make sure to register correctly - https://tinyurl.com/eu6jff7p",https://pbs.twimg.com/media/F0bZ-WmacAAz5LG?format=jpg&name=small
Mudra Finance,Other,Loan Fraud,"A letter falsely claims to approve a loan of ₹3,00,000 from Mudra Finance at 2% interest, requiring an upfront payment of ₹36,500 as legal insurance charges.","An approval letter claims to grant a loan of ₹3,00,000 under the 𝐏𝐌 𝐌𝐮𝐝𝐫𝐚 𝐘𝐨𝐣𝐚𝐧𝐚 on payment of ₹36,500 as legal insurance charges  #PIBFactCheck  This letter is #Fake   @FinMinIndia  has not issued this letter  Read more:  http:// mudra.org.in/FAQ",https://x.com/PIBFactCheck/status/1697911433542160520,"Ref.:MUDRA/LON/CORRS/20-22/9208 APPROVAL LETTER To, <Name> Subject: Approved of Loan ""<Loan Type>"" Greetings from Mudra Finance. AADHAR NO :- At the outset we welcome you to the world of Mudra Finance. It is my privilege to inform you that an amount of 3,00000 only can be financed by us for you with loan interest rate at 2% Per Ann-umoneducing b.This is to inform your file come under process positively of which. Section Break(Continuous) Loan Details:- Loan Amt :- 3,00000/- Loan Period:- 3 years/- EMI:- (in Rs.- 8592/- ) Customer account details A/C: Bank Account Details: Mudra Finance Your need to pay legal insurance charge Rs. 36500/- through NEFT/RTGS/Online Banking/UPI in following bank account: Note: Cash Deposited Not Accepted by Company. Online Transaction Needed for your Bank Account / Transaction Verification). (Thank you for choosing Mudra Finance and assuring you our best Services at all time, looking forward to a great and long relationship with you. For More Details Contact our executive. Thanking you Your Truly Dev Anan Customer Business Managing Director M.D. Verified By Verified By: Er/Soumyendu Ganguly",https://pbs.twimg.com/media/F5AxP4absAAZdIv?format=jpg&name=small
